X1_transaction_date,X2_house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
2013.58,6.60,90.46,9.00,24.97,121.54,59.00
2013.08,35.50,640.74,3.00,24.98,121.54,40.80
2013.58,32.50,424.54,8.00,24.98,121.54,36.30
2013.17,13.80,4082.02,0.00,24.94,121.50,20.00
2012.92,6.80,379.56,10.00,24.98,121.54,54.40
2013.50,12.30,1360.14,1.00,24.95,121.55,29.50
2013.58,35.90,616.40,3.00,24.98,121.54,36.80
2012.83,20.50,2185.13,3.00,24.96,121.51,25.60
2012.92,38.20,552.44,2.00,24.98,121.53,29.80
2013.00,18.00,1414.84,1.00,24.95,121.55,26.50
2013.50,11.80,533.48,4.00,24.97,121.55,40.30
2013.00,30.80,377.80,6.00,24.96,121.54,36.80
2013.08,13.20,150.93,7.00,24.97,121.54,48.10
2012.92,25.30,2707.39,3.00,24.96,121.51,17.70
2013.08,15.10,383.28,7.00,24.97,121.54,43.70
2012.75,0.00,338.97,9.00,24.97,121.54,50.80
2012.83,1.80,1455.80,1.00,24.95,121.55,27.00
2013.58,16.90,4066.59,0.00,24.94,121.50,18.30
2012.92,8.90,1406.43,0.00,24.99,121.53,48.00
2013.50,23.00,3947.95,0.00,24.95,121.50,25.30
2012.83,0.00,274.01,1.00,24.97,121.53,45.40
2013.25,9.10,1402.02,0.00,24.99,121.53,43.20
2012.92,20.60,2469.65,4.00,24.96,121.51,21.80
2012.92,31.90,1146.33,0.00,24.95,121.53,16.10
2012.92,40.90,167.60,5.00,24.97,121.54,41.00
2012.92,8.00,104.81,5.00,24.97,121.54,51.80
2013.42,6.40,90.46,9.00,24.97,121.54,59.50
2013.08,28.40,617.44,3.00,24.98,121.53,34.60
2013.42,16.40,289.32,5.00,24.98,121.54,51.00
2013.42,6.40,90.46,9.00,24.97,121.54,62.20
2013.50,17.50,964.75,4.00,24.99,121.53,38.20
2012.83,12.70,170.13,1.00,24.97,121.53,32.90
2013.08,1.10,193.58,6.00,24.97,121.54,54.40
2012.75,0.00,208.39,6.00,24.96,121.54,45.70
2012.67,32.70,392.45,6.00,24.96,121.54,30.50
2012.83,0.00,293.00,6.00,24.98,121.54,71.00
2013.08,17.20,189.52,8.00,24.98,121.54,47.10
2013.33,12.20,1360.14,1.00,24.95,121.55,26.60
2013.42,31.40,592.50,2.00,24.97,121.54,34.10
2013.58,4.00,2147.38,3.00,24.96,121.51,28.40
2013.08,8.10,104.81,5.00,24.97,121.54,51.60
2013.58,33.30,196.62,7.00,24.98,121.54,39.40
2013.42,9.90,2102.43,3.00,24.96,121.51,23.10
2013.33,14.80,393.26,6.00,24.96,121.54,7.60
2012.67,30.60,143.84,8.00,24.98,121.54,53.30
2013.08,20.60,737.92,2.00,24.98,121.55,46.40
2013.00,30.90,6396.28,1.00,24.94,121.48,12.20
2013.00,13.60,4197.35,0.00,24.94,121.50,13.00
2013.50,25.30,1583.72,3.00,24.97,121.52,30.60
2013.50,16.60,289.32,5.00,24.98,121.54,59.60
2013.17,13.30,492.23,5.00,24.97,121.54,31.30
2013.50,13.60,492.23,5.00,24.97,121.54,48.00
2013.25,31.50,414.95,4.00,24.98,121.54,32.50
2013.42,0.00,185.43,0.00,24.97,121.53,45.50
2012.92,9.90,279.17,7.00,24.98,121.55,57.40
2013.17,1.10,193.58,6.00,24.97,121.54,48.60
2013.08,38.60,804.69,4.00,24.98,121.53,62.90
2013.25,3.80,383.86,5.00,24.98,121.54,55.00
2013.08,41.30,124.99,6.00,24.97,121.54,60.70
2013.42,38.50,216.83,7.00,24.98,121.54,41.00
2013.25,29.60,535.53,8.00,24.98,121.54,37.50
2013.50,4.00,2147.38,3.00,24.96,121.51,30.70
2013.17,26.60,482.76,5.00,24.97,121.54,37.50
2012.83,18.00,373.39,8.00,24.99,121.54,39.50
2012.67,33.40,186.97,6.00,24.97,121.54,42.20
2012.92,18.90,1009.24,0.00,24.96,121.55,20.80
2012.75,11.40,390.57,5.00,24.98,121.54,46.80
2013.50,13.60,319.07,6.00,24.96,121.54,47.40
2013.17,10.00,942.47,0.00,24.98,121.52,43.50
2012.67,12.90,492.23,5.00,24.97,121.54,42.50
2013.25,16.20,289.32,5.00,24.98,121.54,51.40
2013.33,5.10,1559.83,3.00,24.97,121.52,28.90
2013.42,19.80,640.61,5.00,24.97,121.55,37.50
2013.50,13.60,492.23,5.00,24.97,121.54,40.10
2013.08,11.90,1360.14,1.00,24.95,121.55,28.40
2012.92,2.10,451.24,5.00,24.98,121.55,45.50
2012.75,0.00,185.43,0.00,24.97,121.53,52.20
2012.75,3.20,489.88,8.00,24.97,121.54,43.20
2013.50,16.40,3780.59,0.00,24.93,121.51,45.10
2012.67,34.90,179.45,8.00,24.97,121.54,39.70
2013.25,35.80,170.73,7.00,24.97,121.54,48.50
2013.50,4.90,387.77,9.00,24.98,121.54,44.70
2013.33,12.00,1360.14,1.00,24.95,121.55,28.90
2013.25,6.50,376.17,6.00,24.95,121.54,40.90
2013.50,16.90,4066.59,0.00,24.94,121.50,20.70
2013.17,13.80,4082.02,0.00,24.94,121.50,15.60
2013.58,30.70,1264.73,0.00,24.95,121.53,18.30
2013.25,16.10,815.93,4.00,24.98,121.53,35.60
2013.00,11.60,390.57,5.00,24.98,121.54,39.40
2012.67,15.50,815.93,4.00,24.98,121.53,37.40
2012.92,3.50,49.66,8.00,24.96,121.54,57.80
2013.42,19.20,616.40,3.00,24.98,121.54,39.60
2012.75,16.00,4066.59,0.00,24.94,121.50,11.60
2013.50,8.50,104.81,5.00,24.97,121.54,55.50
2012.83,0.00,185.43,0.00,24.97,121.53,55.20
2012.92,13.70,1236.56,1.00,24.98,121.55,30.60
2013.42,0.00,293.00,6.00,24.98,121.54,73.60
2013.42,28.20,330.09,8.00,24.97,121.54,43.40
2013.08,27.60,515.11,5.00,24.96,121.54,37.40
2013.42,8.40,1962.63,1.00,24.95,121.55,23.50
2013.33,24.00,4527.69,0.00,24.95,121.50,14.40
2013.08,3.60,383.86,5.00,24.98,121.54,58.80
2013.58,6.60,90.46,9.00,24.97,121.54,58.10
2013.08,41.30,401.88,4.00,24.98,121.54,35.10
2013.42,4.30,432.04,7.00,24.98,121.54,45.20
2013.08,30.20,472.17,3.00,24.97,121.54,36.50
2012.83,13.90,4573.78,0.00,24.95,121.50,19.20
2013.08,33.00,181.08,9.00,24.98,121.54,42.00
2013.50,13.10,1144.44,4.00,24.99,121.53,36.70
2013.08,14.00,438.85,1.00,24.97,121.53,42.60
2012.67,26.90,4449.27,0.00,24.95,121.50,15.50
2013.17,11.60,201.89,8.00,24.98,121.54,55.90
2013.50,13.50,2147.38,3.00,24.96,121.51,23.60
2013.50,17.00,4082.02,0.00,24.94,121.50,18.80
2012.75,14.10,2615.47,0.00,24.95,121.56,21.80
2012.75,31.40,1447.29,3.00,24.97,121.52,21.50
2013.17,20.90,2185.13,3.00,24.96,121.51,25.70
2013.00,8.90,3078.18,0.00,24.95,121.57,22.00
2012.92,34.80,190.04,8.00,24.98,121.54,44.30
2012.92,16.30,4066.59,0.00,24.94,121.50,20.50
2013.50,35.30,616.57,8.00,24.98,121.54,42.30
2013.17,13.20,750.07,2.00,24.97,121.55,37.80
2013.17,43.80,57.59,7.00,24.97,121.54,42.70
2013.42,9.70,421.48,5.00,24.98,121.54,49.30
2013.50,15.20,3771.90,0.00,24.93,121.51,29.30
2013.33,15.20,461.10,5.00,24.95,121.54,34.60
2013.00,22.80,707.91,2.00,24.98,121.55,36.60
2013.25,34.40,126.73,8.00,24.97,121.54,48.20
2013.08,34.00,157.61,7.00,24.97,121.54,39.10
2013.42,18.20,451.64,8.00,24.97,121.54,31.60
2013.42,17.40,995.76,0.00,24.96,121.55,25.50
2013.42,13.10,561.98,5.00,24.99,121.54,45.90
2012.92,38.30,642.70,3.00,24.98,121.54,31.50
2012.67,15.60,289.32,5.00,24.98,121.54,46.10
2013.00,18.00,1414.84,1.00,24.95,121.55,26.60
2013.08,12.80,1449.72,3.00,24.97,121.52,21.40
2013.25,22.20,379.56,10.00,24.98,121.54,44.00
2013.08,38.50,665.06,3.00,24.98,121.54,34.20
2012.75,11.50,1360.14,1.00,24.95,121.55,26.20
2012.83,34.80,175.63,8.00,24.97,121.54,40.90
2013.50,5.20,390.57,5.00,24.98,121.54,52.20
2013.08,0.00,274.01,1.00,24.97,121.53,43.50
2013.33,17.60,1805.67,2.00,24.99,121.52,31.10
2013.08,6.20,90.46,9.00,24.97,121.54,58.00
2013.58,18.10,1783.18,3.00,24.97,121.51,20.90
2013.33,19.20,383.71,8.00,24.97,121.54,48.10
2013.25,37.80,590.93,1.00,24.97,121.54,39.70
2012.92,28.00,372.62,6.00,24.98,121.54,40.80
2013.42,13.60,492.23,5.00,24.97,121.54,43.80
2012.75,29.30,529.78,8.00,24.98,121.54,40.20
2013.33,37.20,186.51,9.00,24.98,121.54,78.30
2013.33,9.00,1402.02,0.00,24.99,121.53,38.50
2013.58,30.60,431.11,10.00,24.98,121.54,48.50
2013.25,9.10,1402.02,0.00,24.99,121.53,42.30
2013.33,34.50,324.94,6.00,24.98,121.54,46.00
2013.25,1.10,193.58,6.00,24.97,121.54,49.00
2013.00,16.50,4082.02,0.00,24.94,121.50,12.80
2012.92,32.40,265.06,8.00,24.98,121.54,40.20
2013.42,11.90,3171.33,0.00,25.00,121.52,46.60
2013.58,31.00,1156.41,0.00,24.95,121.53,19.00
2013.50,4.00,2147.38,3.00,24.96,121.51,33.40
2012.83,16.20,4074.74,0.00,24.94,121.50,14.70
2012.92,27.10,4412.77,1.00,24.95,121.50,17.40
2013.33,39.70,333.37,9.00,24.98,121.54,32.40
2013.25,8.00,2216.61,4.00,24.96,121.51,23.90
2012.75,12.90,250.63,7.00,24.97,121.54,39.30
2013.17,3.60,373.84,10.00,24.98,121.54,61.90
2013.17,13.00,732.85,0.00,24.98,121.53,39.00
2013.08,12.80,732.85,0.00,24.98,121.53,40.60
2013.50,18.10,837.72,0.00,24.96,121.55,29.70
2013.08,11.00,1712.63,2.00,24.96,121.52,28.80
2013.50,13.70,250.63,7.00,24.97,121.54,41.40
2012.83,2.00,2077.39,3.00,24.96,121.51,33.40
2013.42,32.80,204.17,8.00,24.98,121.54,48.20
2013.08,4.80,1559.83,3.00,24.97,121.52,21.70
2013.42,7.50,639.62,5.00,24.97,121.55,40.80
2013.42,16.40,389.82,6.00,24.96,121.54,40.60
2013.33,21.70,1055.07,0.00,24.96,121.55,23.10
2013.00,19.00,1009.24,0.00,24.96,121.55,22.30
2012.83,18.00,6306.15,1.00,24.96,121.48,15.00
2013.17,39.20,424.71,7.00,24.97,121.54,30.00
2012.92,31.70,1159.45,0.00,24.95,121.53,13.80
2012.83,5.90,90.46,9.00,24.97,121.54,52.70
2012.67,30.40,1735.60,2.00,24.96,121.52,25.90
2012.67,1.10,329.97,5.00,24.98,121.54,51.80
2013.42,31.50,5512.04,1.00,24.95,121.48,17.40
2012.67,14.60,339.23,1.00,24.98,121.53,26.50
2013.25,17.30,444.13,1.00,24.98,121.53,43.90
2013.42,0.00,293.00,6.00,24.98,121.54,63.30
2013.08,17.70,837.72,0.00,24.96,121.55,28.80
2013.25,17.00,1485.10,4.00,24.97,121.52,30.70
2013.17,16.20,2288.01,3.00,24.96,121.51,24.40
2012.92,15.90,289.32,5.00,24.98,121.54,53.00
2013.42,3.90,2147.38,3.00,24.96,121.51,31.70
2013.17,32.60,493.66,7.00,24.97,121.55,40.60
2012.83,15.70,815.93,4.00,24.98,121.53,38.10
2013.25,17.80,1783.18,3.00,24.97,121.51,23.70
2012.83,34.70,482.76,5.00,24.97,121.54,41.10
2013.42,17.20,390.57,5.00,24.98,121.54,40.10
2013.00,17.60,837.72,0.00,24.96,121.55,23.00
2013.33,10.80,252.58,1.00,24.97,121.53,117.50
2012.92,17.70,451.64,8.00,24.97,121.54,26.50
2012.75,13.00,492.23,5.00,24.97,121.54,40.50
2013.42,13.20,170.13,1.00,24.97,121.53,29.30
2013.17,27.50,394.02,7.00,24.97,121.54,41.00
2012.67,1.50,23.38,7.00,24.97,121.54,49.70
2013.00,19.10,461.10,5.00,24.95,121.54,34.00
2013.42,21.20,2185.13,3.00,24.96,121.51,27.70
2012.75,0.00,208.39,6.00,24.96,121.54,44.00
2013.42,2.60,1554.25,3.00,24.97,121.52,31.10
2013.25,2.30,184.33,6.00,24.97,121.54,45.40
2013.33,4.70,387.77,9.00,24.98,121.54,44.80
2012.92,2.00,1455.80,1.00,24.95,121.55,25.60
2013.42,33.50,1978.67,2.00,24.99,121.52,23.50
2012.92,15.00,383.28,7.00,24.97,121.54,34.40
2013.17,30.10,718.29,3.00,24.98,121.54,55.30
2012.92,5.90,90.46,9.00,24.97,121.54,56.30
2013.00,19.20,461.10,5.00,24.95,121.54,32.90
2013.58,16.60,323.69,6.00,24.98,121.54,51.00
2013.33,13.90,289.32,5.00,24.98,121.54,44.50
2013.08,37.70,490.34,0.00,24.97,121.53,37.00
2012.83,3.40,56.47,7.00,24.96,121.54,54.40
2013.08,17.50,395.67,5.00,24.96,121.53,24.50
2012.67,12.60,383.28,7.00,24.97,121.54,42.50
2013.50,26.40,335.53,6.00,24.98,121.54,38.10
2013.17,18.20,2179.59,3.00,24.96,121.51,21.80
2012.75,12.50,1144.44,4.00,24.99,121.53,34.10
2012.83,34.90,567.03,4.00,24.97,121.55,28.50
2013.33,16.70,4082.02,0.00,24.94,121.50,16.70
2013.17,33.20,121.73,10.00,24.98,121.54,46.10
2013.08,2.50,156.24,4.00,24.97,121.54,36.90
2012.75,38.00,461.78,0.00,24.97,121.53,35.70
2013.50,16.50,2288.01,3.00,24.96,121.51,23.20
2013.50,38.30,439.71,0.00,24.97,121.53,38.40
2013.42,20.00,1626.08,3.00,24.97,121.52,29.40
2013.08,16.20,289.32,5.00,24.98,121.54,55.00
2013.50,14.40,169.98,1.00,24.97,121.53,50.20
2012.83,10.30,3079.89,0.00,24.95,121.57,24.70
2013.42,16.40,289.32,5.00,24.98,121.54,53.00
2013.25,30.30,1264.73,0.00,24.95,121.53,19.10
2013.58,16.40,1643.50,2.00,24.95,121.55,24.70
2013.17,21.30,537.80,4.00,24.97,121.54,42.20
2013.58,35.40,318.53,9.00,24.97,121.54,78.00
2013.33,8.30,104.81,5.00,24.97,121.54,42.80
2013.25,3.70,577.96,6.00,24.97,121.55,41.60
2013.08,15.60,1756.41,2.00,24.98,121.52,27.30
2013.25,13.30,250.63,7.00,24.97,121.54,42.00
2012.75,15.60,752.77,2.00,24.98,121.53,37.50
2013.33,7.10,379.56,10.00,24.98,121.54,49.80
2013.25,34.60,272.68,5.00,24.96,121.54,26.90
2012.75,13.50,4197.35,0.00,24.94,121.50,18.60
2012.92,16.90,964.75,4.00,24.99,121.53,37.70
2013.00,12.90,187.48,1.00,24.97,121.53,33.10
2013.42,28.60,197.13,6.00,24.98,121.54,42.50
2012.67,12.40,1712.63,2.00,24.96,121.52,31.30
2013.08,36.60,488.82,8.00,24.97,121.54,38.10
2013.50,4.10,56.47,7.00,24.96,121.54,62.10
2013.42,3.50,757.34,3.00,24.98,121.55,36.70
2012.83,15.90,1497.71,3.00,24.97,121.52,23.60
2013.00,13.60,4197.35,0.00,24.94,121.50,19.20
2013.08,32.00,1156.78,0.00,24.95,121.53,12.80
2013.33,25.60,4519.69,0.00,24.95,121.50,15.60
2013.17,39.80,617.71,2.00,24.98,121.53,39.60
2012.75,7.80,104.81,5.00,24.97,121.54,38.40
2012.92,30.00,1013.34,5.00,24.99,121.53,22.80
2013.58,27.30,337.60,6.00,24.96,121.54,36.50
2012.83,5.10,1867.23,2.00,24.98,121.52,35.60
2012.83,31.30,600.86,5.00,24.97,121.55,30.90
2012.92,31.50,258.19,9.00,24.97,121.54,36.30
2013.33,1.70,329.97,5.00,24.98,121.54,50.40
2013.33,33.60,270.89,0.00,24.97,121.53,42.90
2013.00,13.00,750.07,2.00,24.97,121.55,37.00
2012.67,5.70,90.46,9.00,24.97,121.54,53.50
2013.00,33.50,563.29,8.00,24.98,121.54,46.60
2013.50,34.60,3085.17,0.00,25.00,121.52,41.20
2012.67,0.00,185.43,0.00,24.97,121.53,37.90
2013.42,13.20,1712.63,2.00,24.96,121.52,30.80
2013.58,17.40,6488.02,1.00,24.96,121.47,11.20
2012.83,4.60,259.66,6.00,24.98,121.55,53.70
2012.75,7.80,104.81,5.00,24.97,121.54,47.00
2013.00,13.20,492.23,5.00,24.97,121.54,42.30
2012.83,4.00,2180.25,3.00,24.96,121.51,28.60
2012.83,18.40,2674.96,3.00,24.96,121.51,25.70
2013.50,4.10,2147.38,3.00,24.96,121.51,31.30
2013.42,12.20,1360.14,1.00,24.95,121.55,30.10
2013.25,3.80,383.86,5.00,24.98,121.54,60.70
2012.83,10.30,211.45,1.00,24.97,121.53,45.30
2013.42,0.00,338.97,9.00,24.97,121.54,44.90
2013.17,1.10,193.58,6.00,24.97,121.54,45.10
2013.50,5.60,2408.99,0.00,24.96,121.56,24.70
2012.67,32.90,87.30,10.00,24.98,121.54,47.10
2013.08,41.40,281.21,8.00,24.97,121.54,63.30
2013.42,17.10,967.40,4.00,24.99,121.53,40.00
2013.50,32.30,109.95,10.00,24.98,121.54,48.00
2013.42,35.30,614.14,7.00,24.98,121.54,33.10
2012.92,17.30,2261.43,4.00,24.96,121.51,29.50
2012.75,14.20,1801.54,1.00,24.95,121.55,24.80
2012.83,15.00,1828.32,2.00,24.96,121.52,20.90
2013.42,18.20,350.85,1.00,24.98,121.53,43.10
2012.67,20.20,2185.13,3.00,24.96,121.51,22.80
2012.75,15.90,289.32,5.00,24.98,121.54,42.10
2013.50,4.10,312.90,5.00,24.96,121.54,51.70
2013.00,33.90,157.61,7.00,24.97,121.54,41.50
2013.08,0.00,274.01,1.00,24.97,121.53,52.20
2013.25,5.40,390.57,5.00,24.98,121.54,49.50
2013.25,21.70,1157.99,0.00,24.96,121.55,23.80
2013.42,14.70,1717.19,2.00,24.96,121.52,30.50
2013.33,3.90,49.66,8.00,24.96,121.54,56.80
2013.33,37.30,587.89,8.00,24.97,121.55,37.40
2013.33,0.00,293.00,6.00,24.98,121.54,69.70
2013.33,14.10,289.32,5.00,24.98,121.54,53.30
2013.42,8.00,132.55,9.00,24.98,121.54,47.30
2013.00,16.30,3529.56,0.00,24.93,121.52,29.30
2012.67,29.10,506.11,4.00,24.98,121.54,40.30
2012.75,16.10,4066.59,0.00,24.94,121.50,12.90
2013.00,18.30,82.89,10.00,24.98,121.54,46.60
2012.83,0.00,185.43,0.00,24.97,121.53,55.30
2013.25,16.20,2103.56,3.00,24.96,121.51,25.60
2013.50,10.40,2251.94,4.00,24.96,121.51,27.30
2013.25,40.90,122.36,8.00,24.97,121.54,67.70
2013.50,32.80,377.83,9.00,24.97,121.54,38.60
2013.58,6.20,1939.75,1.00,24.95,121.55,31.30
2013.08,42.70,443.80,6.00,24.98,121.54,35.30
2013.00,16.90,967.40,4.00,24.99,121.53,40.30
2013.50,32.60,4136.27,1.00,24.96,121.50,24.70
2012.92,21.20,512.55,4.00,24.97,121.54,42.50
2012.67,37.10,918.64,1.00,24.97,121.55,31.90
2013.42,13.10,1164.84,4.00,24.99,121.53,32.20
2013.42,14.70,1717.19,2.00,24.96,121.52,23.00
2012.92,12.70,170.13,1.00,24.97,121.53,37.30
2013.25,26.80,482.76,5.00,24.97,121.54,35.50
2013.08,7.60,2175.03,3.00,24.96,121.51,27.70
2012.83,12.70,187.48,1.00,24.97,121.53,28.50
2012.67,30.90,161.94,9.00,24.98,121.54,39.70
2013.33,16.40,289.32,5.00,24.98,121.54,41.20
2012.67,23.00,130.99,6.00,24.96,121.54,37.20
2013.17,1.90,372.14,7.00,24.97,121.54,40.50
2013.00,5.20,2408.99,0.00,24.96,121.56,22.30
2013.42,18.50,2175.74,3.00,24.96,121.51,28.10
2013.00,13.70,4082.02,0.00,24.94,121.50,15.40
2012.67,5.60,90.46,9.00,24.97,121.54,50.00
2013.25,18.80,390.97,7.00,24.98,121.54,40.60
2013.00,8.10,104.81,5.00,24.97,121.54,52.50
2013.50,6.50,90.46,9.00,24.97,121.54,63.90
